Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
18	4763.15	225.686	4928.23	4330.48	5261.03	68.2231	5334.78	5152.86	1000.0	1000.0	94999	260.488	99.4268	372.378	-38.3711	260.488	99.4283	370.679	-35.2615	260.897	98.9352	369.496	-31.6335	2.20318	3.47919	27.5849	-14.8632	-261.92	7.04881	6.739	5.95223	3445.006290435791
19	3264.82	2201.97	5258.6	307.49	5445.2	35.6726	5483.21	5402.44	1000.0	1000.0	99999	268.701	104.691	381.446	-46.526	268.701	104.692	378.517	-44.6581	269.086	104.229	378.441	-42.7935	2.18292	3.50516	33.0921	-16.3579	-270.108	7.20511	6.88309	6.23896	3621.9434428215027
20	5013.55	143.415	5168.9	4768.35	5500.34	58.6821	5603.39	5428.9	1000.0	1000.0	104999	278.401	108.275	391.28	-53.4328	278.401	108.277	389.785	-46.2045	278.765	107.819	387.822	-46.7427	2.24194	3.53347	35.7369	-13.9046	-279.786	7.2563	6.99055	6.45993	3797.616003513336
21	5318.46	146.673	5469.72	5048.76	5614.89	108.588	5777.84	5497.97	1000.0	1000.0	109999	289.19	110.518	401.324	-59.1176	289.19	110.519	401.15	-53.4686	289.547	110.044	399.03	-52.0594	2.36989	3.56171	39.882	-14.527	-290.569	7.37496	7.09529	6.57662	3973.3398110866547
22	5251.63	329.262	5506.36	4613.34	5766.19	13.6264	5779.15	5749.23	1000.0	1000.0	114999	299.834	112.806	414.465	-57.8537	299.834	112.806	413.006	-55.5911	300.192	112.326	412.273	-54.8327	2.54549	3.60716	38.314	-14.9595	-301.219	7.41203	7.17739	6.76358	4148.806631088257
23	5487.08	157.781	5673.22	5238.17	6008.71	58.7822	6092.78	5939.0	1000.0	1000.0	119999	310.398	114.903	425.203	-64.107	310.399	114.904	425.197	-59.2481	310.74	114.412	422.078	-56.5595	2.68009	3.64013	36.1386	-13.3159	-311.765	7.45076	7.1929	6.87123	4323.859815359116
24	4746.04	1627.22	5757.82	1499.72	6215.27	48.5742	6285.78	6141.01	1000.0	1000.0	124999	320.372	116.569	437.512	-60.2785	320.372	116.57	435.212	-61.9608	320.689	116.057	433.12	-57.7775	2.741	3.62928	40.4322	-13.8922	-321.709	7.39195	7.22077	6.90002	4499.349699497223
25	5684.54	73.2355	5768.85	5593.84	6416.75	134.323	6651.0	6250.6	1000.0	1000.0	129999	328.016	119.713	447.059	-65.1166	328.017	119.713	443.562	-68.5858	328.314	119.21	442.286	-62.7704	2.83559	3.67858	29.9946	-14.9959	-329.33	7.71473	7.49881	7.33905	4674.9150767326355
26	5864.62	56.2596	5944.17	5772.15	6308.03	103.64	6459.09	6157.48	1000.0	1000.0	134999	337.453	120.827	455.225	-64.7529	337.453	120.828	454.257	-65.8646	337.745	120.309	451.609	-60.1038	2.93746	3.68316	28.8113	-16.168	-338.75	7.70895	7.54046	7.36688	4850.348194122314
27	5900.93	151.181	6146.5	5760.98	6434.03	51.3807	6533.05	6388.25	1000.0	1000.0	139999	346.256	122.287	472.329	-63.7176	346.256	122.288	467.859	-60.8044	346.533	121.748	469.742	-61.1968	3.00265	3.68689	30.4219	-15.6149	-347.53	7.89498	7.7338	7.52707	5025.229659080505
28	5903.03	49.4937	5961.18	5846.78	6186.01	168.853	6432.57	5950.18	1000.0	1000.0	144999	354.981	122.809	477.512	-66.265	354.981	122.81	475.061	-66.2545	355.232	122.258	476.402	-64.4044	3.08819	3.69718	28.9947	-13.5064	-356.219	8.14218	7.98676	7.9298	5200.372885942459
29	5534.46	744.971	5987.17	4055.47	6403.72	87.0873	6546.79	6320.69	1000.0	1000.0	149999	362.879	123.6	483.729	-67.4555	362.879	123.601	483.484	-62.6813	363.118	123.038	481.94	-59.7256	3.16495	3.69679	32.4015	-13.7203	-364.103	8.21006	8.05979	7.90709	5375.779982089996
30	6105.03	98.8202	6257.31	5975.06	6720.0	72.605	6830.53	6646.5	1000.0	1000.0	154999	369.845	124.969	491.747	-63.9616	369.845	124.969	490.722	-61.217	370.059	124.407	487.369	-59.7059	3.1905	3.6899	29.1201	-13.8431	-371.046	8.68138	8.50027	8.47356	5551.388863563538
31	5231.58	1980.48	6346.24	1276.43	6842.18	50.464	6901.85	6780.43	1000.0	1000.0	159999	376.827	125.888	495.561	-65.6847	376.828	125.888	494.636	-63.4457	377.021	125.314	495.438	-65.3375	3.25723	3.6909	30.5983	-15.7446	-378.005	8.43967	8.35031	8.31626	5726.796747207642
32	6177.22	49.2531	6239.62	6122.03	6728.82	121.028	6922.91	6556.32	1000.0	1000.0	164999	381.668	128.48	503.276	-68.248	381.668	128.48	503.429	-65.023	381.853	127.905	501.453	-64.8908	3.30204	3.7086	34.507	-14.3823	-382.85	8.68794	8.58005	8.54374	5901.675146579742
33	6276.55	208.558	6505.55	5955.41	6846.44	95.8811	7010.7	6718.42	1000.0	1000.0	169999	389.023	128.431	511.289	-69.3608	389.023	128.43	508.677	-65.1132	389.199	127.841	509.734	-68.4796	3.40121	3.7266	30.7428	-12.9525	-390.187	8.60658	8.4322	8.44388	6076.940207719803
34	6313.69	173.65	6520.89	6099.99	6799.27	87.4835	6906.92	6685.01	1000.0	1000.0	174999	395.482	128.983	516.297	-62.473	395.482	128.983	515.203	-57.3271	395.647	128.387	518.573	-66.98	3.45579	3.75637	34.5273	-14.084	-396.64	8.61512	8.44279	8.67619	6252.009479761124
