Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
17	576.795	213.529	699.229	150.915	346.014	338.789	769.781	29.5154	836.4	440.8	89999	36.8774	9.09858	74.8105	-21.8295	36.8777	9.0966	74.4276	-33.6764	0.010224	0.000112626	0.010542	0.0100037	0.0221949	8.00483	2.52047	31.3821	-8.30215	-37.2197	1.89832	1.91218	2554.459555387497
18	539.293	218.468	759.521	216.322	381.827	308.816	800.198	39.0105	728.125	487.8	94999	38.4524	9.28306	74.9057	-28.9893	38.4526	9.2816	76.7668	-26.964	0.0102831	9.99047e-05	0.0106243	0.0100654	-0.00272354	7.99938	2.4987	30.7747	-9.04481	-38.7826	1.88007	1.8873	2718.964226961136
19	491.177	279.23	778.189	38.4887	769.104	121.489	984.7	619.033	620.5	946.4	99999	40.3846	9.47245	76.6233	-24.0156	40.3849	9.47228	79.2334	-23.7249	0.0105025	0.00011573	0.0107382	0.010215	0.0148485	8.00324	2.47726	28.6203	-8.56708	-40.705	1.92244	1.91258	2861.8963396549225
20	709.471	176.406	859.806	379.626	646.166	282.072	929.911	131.736	897.2	836.0	104999	42.0037	9.57698	77.4864	-19.2046	42.0038	9.5766	79.0437	-23.1613	0.0106492	9.09704e-05	0.0109369	0.0104448	-0.00300828	7.99931	2.45829	29.1735	-9.30029	-42.3157	1.89989	1.90527	2991.4381062984467
21	488.264	370.99	1013.25	18.2013	598.745	321.227	868.841	45.1568	569.1	724.4	109999	43.8277	9.73165	82.2475	-27.2367	43.8279	9.7315	80.5867	-27.5717	0.0107322	7.29782e-05	0.010938	0.0105639	0.0124102	8.00272	2.44311	31.7706	-10.3746	-44.1287	1.95113	1.93533	3152.9111902713776
22	481.87	322.83	815.246	16.6245	676.199	321.567	908.305	38.2121	629.714	807.0	114999	45.4816	9.85293	82.7502	-24.9317	45.4818	9.85182	84.9506	-28.1531	0.0108352	0.000132701	0.0112161	0.0105978	0.00233554	8.00049	2.43537	32.8612	-9.24633	-45.7822	1.94024	1.94339	3280.1884248256683
23	491.272	381.217	990.391	22.4471	548.798	357.353	945.451	42.6084	586.778	581.2	119999	47.1772	9.97022	84.4604	-32.8183	47.1773	9.97093	84.7743	-41.0182	0.0109192	0.000119892	0.0112233	0.010667	0.00356527	8.00077	2.42179	33.328	-10.3936	-47.4729	1.9689	1.96202	3429.922164440155
24	761.722	58.1256	834.007	687.125	431.809	371.714	898.209	51.3141	1000.0	468.8	124999	48.8468	9.95189	87.2912	-22.5736	48.8467	9.9504	85.8603	-26.4431	0.0108402	0.000110809	0.0111008	0.010581	-0.00607422	7.99863	2.41858	35.1836	-10.7186	-49.1379	1.90058	1.91906	3571.7556076049805
25	900.847	78.0649	1049.0	825.335	895.805	89.0863	1031.57	790.549	1000.0	1000.0	129999	50.5589	10.1682	88.6977	-45.1703	50.5591	10.1676	88.9982	-40.1173	0.010844	0.000136227	0.0112656	0.0103782	-0.00463288	7.99895	2.42111	34.3336	-8.33012	-50.8463	1.93138	1.91045	3715.7316257953644
26	894.67	104.844	1050.54	752.854	572.577	418.169	956.735	51.0043	1000.0	619.0	134999	52.2685	10.4049	91.6909	-29.0798	52.2684	10.4049	91.7483	-30.527	0.0109709	0.000154635	0.0113756	0.0105909	0.0124331	8.00273	2.42611	33.3841	-10.1623	-52.5508	1.85724	1.85628	3858.0649321079254
