Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
0	-70.2054	108.817	26.7738	-389.0	-139.293	207.445	-10.646	-550.91	190.455	272.0	4999	30.6053	13.351	72.8325	-3.31245	30.6064	13.345	76.2578	-4.27969	0.573403	0.198385	0.9997	0.301063	-6.98265	-3.99141	2.15988	21.3598	-14.7411	-33.9802	2.26773	2.32941	123.99374628067017
1	-34.8332	70.781	52.8964	-333.28	-701.94	766.783	-30.6631	-1692.3	118.881	428.2	9999	71.1238	16.5633	127.159	-9.60552	71.1236	16.5554	127.493	-10.469	0.182679	0.0498153	0.300985	0.130433	-6.83098	3.59873	5.64197	39.486	-15.0983	-74.717	10.3505	10.6579	271.14907455444336
2	-550.547	524.139	-2.74193	-1487.16	-163.613	222.238	-18.8381	-604.862	527.727	278.2	14999	109.922	12.2986	155.689	-19.0169	109.921	12.2819	154.772	-21.4462	0.0785736	0.03183	0.131877	0.0354505	-3.01038	6.86214	5.42747	44.1035	-14.4056	-112.307	18.5868	19.0871	437.4347367286682
3	-107.808	165.481	13.7668	-516.872	-90.6402	85.1962	-19.4957	-252.291	224.905	267.8	19999	93.7615	13.6858	139.949	-20.9369	93.7602	13.6914	142.433	-24.0703	0.0256978	0.00441843	0.0354441	0.0197407	-1.02142	7.7144	4.24368	38.0285	-14.3892	-94.8601	12.1423	12.2418	571.0511224269867
4	-79.2555	103.611	33.1176	-288.631	-44.7532	66.8658	4.00784	-172.704	345.846	159.4	24999	74.0967	11.3803	117.003	-24.3811	74.0961	11.3865	115.399	-32.8733	0.0170142	0.0014732	0.0197392	0.0144172	-0.299002	7.92664	3.88583	38.2272	-14.0219	-74.8606	8.26488	8.24643	698.0950469970703
5	-26.7909	67.1975	93.2099	-155.604	122.381	40.6726	167.677	46.3115	619.222	852.6	29999	55.372	9.07843	91.6113	-24.1717	55.3722	9.07402	92.2852	-21.8101	0.012082	0.00113007	0.0144137	0.0103537	-0.230667	7.9475	3.55506	36.5616	-12.588	-55.9373	4.25186	4.32724	857.2381892204285
6	149.67	124.135	308.124	-7.58972	184.828	119.929	375.025	34.8757	743.429	449.2	34999	41.0154	6.82216	74.0167	-14.5349	41.0156	6.8166	74.2189	-15.9168	0.00967669	0.000343476	0.0104863	0.00911066	-0.0946992	7.97947	3.16416	34.6977	-11.2739	-41.5153	2.88398	2.96947	1004.7625200748444
7	219.545	174.262	495.471	14.601	236.255	148.598	462.087	55.5735	592.75	477.6	39999	33.5282	5.90479	63.6069	-16.9251	33.5282	5.90191	63.4651	-17.5346	0.00915588	8.47204e-05	0.00939337	0.00896324	-0.0104022	7.99775	2.91621	31.2081	-10.7918	-34.0146	2.3919	2.4325	1139.6664187908173
8	332.188	129.298	486.585	98.187	327.841	196.288	586.447	87.6729	855.333	590.8	44999	29.6768	5.93	58.9804	-34.4138	29.6769	5.92717	59.1961	-16.4354	0.00926019	0.00011637	0.00951544	0.00895145	0.0287947	8.00612	2.78975	29.4864	-10.0898	-30.1449	2.3069	2.34239	1285.591135263443
9	283.33	152.229	467.567	33.3811	408.565	157.655	535.239	116.767	842.167	844.6	49999	28.0893	6.35027	58.1219	-16.7409	28.0893	6.34825	58.1449	-16.5115	0.00975319	0.000203884	0.0100985	0.00934318	0.0217628	8.00466	2.75964	28.3295	-11.3427	-28.5426	2.23211	2.26947	1430.6195957660675
10	258.391	169.368	533.137	59.1903	212.816	179.183	455.947	26.2013	528.5	458.2	54999	27.8695	6.91944	59.2356	-10.689	27.8696	6.91912	60.2567	-15.8807	0.00991727	0.000130369	0.0101845	0.00970084	0.0244595	8.00527	2.7712	28.8177	-13.508	-28.2859	2.23502	2.26202	1551.6403543949127
11	214.477	179.113	480.248	5.30628	150.761	218.21	586.254	24.7739	483.818	194.4	59999	27.8494	7.30651	61.3579	-22.063	27.8493	7.30654	60.4563	-26.2182	0.0100051	0.000110552	0.0102796	0.00980662	0.00208675	8.00042	2.70497	27.958	-9.07601	-28.2332	2.32544	2.32577	1701.1738605499268
12	242.693	185.215	560.703	36.2651	345.427	214.349	610.284	49.8807	488.455	520.6	64999	28.2115	7.75017	62.1845	-23.842	28.2113	7.75074	62.5296	-23.425	0.010157	7.79829e-05	0.0103364	0.00997639	2.15215e-05	7.99997	2.65624	28.8362	-10.9165	-28.571	2.32816	2.32591	1853.5791165828705
13	279.936	172.41	546.817	6.56163	429.954	233.938	713.699	144.629	489.0	644.2	69999	29.0867	8.16029	61.7203	-17.5476	29.0867	8.16	66.9205	-21.9423	0.0101856	9.69045e-05	0.0104424	0.00990503	0.00342928	8.00071	2.62934	28.4078	-10.2712	-29.4163	2.42031	2.43251	1993.3304378986359
14	271.914	210.257	651.196	39.1468	412.042	290.014	675.497	49.6877	474.636	576.6	74999	29.8619	8.58972	67.2317	-15.8626	29.8619	8.58924	66.7136	-18.1503	0.0102835	8.54382e-05	0.0105158	0.0100138	0.0129585	8.0028	2.61344	28.2033	-11.0628	-30.1855	2.28503	2.28426	2141.9360876083374
15	575.995	262.0	857.713	129.248	492.266	325.41	998.099	87.2516	821.0	673.2	79999	31.2594	9.21677	67.6543	-20.538	31.2595	9.21508	68.2413	-16.4568	0.0104207	0.000111462	0.0107066	0.0101392	0.00121329	8.00023	2.58142	28.5983	-9.7391	-31.5656	2.37469	2.40658	2260.420638561249
16	362.465	224.325	733.355	71.4468	460.111	228.752	713.14	151.792	455.0	564.8	84999	32.9388	9.78823	71.358	-19.2555	32.9388	9.78793	70.7089	-28.2099	0.0105397	9.81013e-05	0.0108261	0.0102283	-0.00295967	7.99932	2.56606	29.1201	-11.2049	-33.2342	2.41981	2.43809	2427.6159148216248
17	440.126	268.826	760.324	69.474	645.512	325.523	1003.16	38.8277	636.0	729.6	89999	34.7758	10.2391	71.5347	-17.2346	34.7758	10.2397	71.8538	-20.4788	0.0105868	0.000113497	0.0108944	0.0103031	0.0271687	8.00593	2.55827	27.5109	-10.2912	-35.0678	2.49177	2.50125	2555.8276178836823
18	366.034	264.87	813.214	17.6152	643.321	272.287	814.042	102.394	429.545	818.0	94999	36.6203	10.7632	74.7899	-19.1685	36.6205	10.7634	75.772	-33.2799	0.0106888	9.99472e-05	0.0109424	0.0104674	-0.00102521	7.99974	2.56458	28.1622	-9.91996	-36.9078	2.56985	2.54721	2691.9090852737427
19	437.706	310.077	793.624	9.16496	416.609	275.046	768.852	98.7956	591.0	500.8	99999	38.6098	11.3535	77.7078	-28.1586	38.61	11.3538	78.5328	-25.7244	0.0108295	0.000125099	0.0111858	0.0105674	0.010173	8.0022	2.59662	27.4433	-11.9764	-38.9007	2.61732	2.61535	2842.7032594680786
20	523.843	254.581	730.996	103.519	256.845	300.695	844.275	32.8169	635.25	265.6	104999	40.6384	12.1829	87.0859	-21.6931	40.6386	12.183	85.51	-24.732	0.0109923	0.00011562	0.0112807	0.0106653	0.0158151	8.00348	2.60882	28.951	-13.1641	-40.9275	2.63648	2.63161	2986.013079404831
21	539.965	343.457	1079.81	66.1999	675.414	428.705	1219.28	127.695	668.75	585.2	109999	42.8804	13.0906	88.7322	-31.0559	42.8806	13.0882	88.9441	-29.7267	0.0110957	0.000139085	0.0114599	0.010795	-0.012854	7.9971	2.60488	29.733	-11.0435	-43.1664	2.66547	2.68673	3137.6123962402344
22	359.155	319.245	833.337	20.9352	167.013	136.478	366.284	27.4819	450.0	123.6	114999	44.9159	13.9314	90.7324	-31.5303	44.9159	13.9293	89.645	-29.5537	0.0111928	9.00964e-05	0.0113702	0.0109825	0.0206778	8.00457	2.59031	32.0892	-10.3977	-45.1964	2.70694	2.72169	3276.5331287384033
23	595.96	269.906	796.109	13.4825	589.49	186.62	843.486	349.718	835.833	584.8	119999	46.6567	14.5259	94.2401	-26.6599	46.6566	14.5241	91.4524	-29.3688	0.0113584	9.91412e-05	0.0116232	0.0110878	0.00708227	8.00155	2.59278	31.357	-9.0401	-46.9379	2.82276	2.87892	3419.201990842819
24	531.582	232.804	823.71	111.049	657.179	170.12	816.034	337.657	673.571	852.8	124999	48.1902	15.1159	95.8212	-22.9324	48.19	15.1133	93.8009	-28.8374	0.0114862	0.000102015	0.0117073	0.0112025	-0.0132283	7.99701	2.61299	32.9091	-13.2938	-48.4683	2.83803	2.90494	3555.0609889030457
