Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
18	5122.3	209.148	5362.62	4809.37	5660.52	79.0595	5783.16	5547.22	1000.0	1000.0	94999	254.09	91.3192	382.189	-17.4925	254.09	91.3202	381.826	-17.4865	254.539	90.7691	379.169	-14.8451	2.6726	3.4763	26.117	-14.073	-255.704	9.61448	9.47326	7.17793	3663.626615524292
19	5304.51	199.671	5582.96	5026.16	6156.31	32.8799	6199.55	6120.55	1000.0	1000.0	99999	268.981	94.7435	396.566	-19.4608	268.982	94.7441	395.018	-19.8061	269.429	94.165	394.71	-17.8912	2.92079	3.54402	25.9856	-14.994	-270.609	9.74654	9.56613	7.37804	3857.3326783180237
20	4632.88	1522.54	5495.73	1592.12	6178.65	82.5686	6293.59	6054.48	1000.0	1000.0	104999	282.081	98.9637	418.097	-30.4797	282.081	98.9648	417.335	-26.9823	282.516	98.3941	415.008	-22.6886	3.07991	3.59496	27.3413	-16.0857	-283.705	10.1547	9.95523	7.7385	4049.776998758316
21	5224.75	1059.77	5885.46	3109.97	6047.0	64.7034	6122.22	5949.29	1000.0	1000.0	109999	293.794	103.916	425.419	-35.2123	293.794	103.917	424.304	-36.1203	294.223	103.361	423.234	-29.6112	3.17052	3.61981	27.6097	-15.5912	-295.408	10.4947	10.2735	7.97271	4242.869393587112
22	4869.08	1844.93	6013.3	1189.9	5779.81	117.137	5917.21	5581.29	1000.0	1000.0	114999	304.248	109.708	436.569	-43.4621	304.249	109.709	435.785	-41.1736	304.676	109.177	435.598	-33.1689	3.31353	3.68086	28.4654	-13.5619	-305.882	11.0545	10.7533	8.55729	4435.856623411179
23	3872.39	2124.8	6006.42	1206.56	6428.27	87.8308	6517.9	6281.49	1000.0	1000.0	119999	313.487	116.416	446.594	-129.962	313.487	116.418	446.605	-129.947	313.918	115.932	444.583	-121.07	3.4436	3.70368	30.3701	-14.9116	-315.136	11.4203	11.0508	8.93461	4629.53430223465
24	5544.88	754.119	6142.38	4073.09	6400.11	78.4837	6498.84	6301.02	1000.0	1000.0	124999	321.127	123.851	465.477	-163.431	321.127	123.854	465.614	-160.046	321.536	123.411	461.414	-154.541	3.45559	3.73201	26.6584	-13.7934	-322.77	12.325	11.8819	9.60134	4822.198296785355
25	5968.36	133.737	6163.82	5747.94	6371.46	107.359	6438.61	6157.75	1000.0	1000.0	129999	332.239	126.733	474.706	-180.115	332.239	126.736	475.376	-180.163	332.606	126.258	471.535	-171.576	3.5552	3.74377	28.514	-14.8117	-333.854	12.3446	11.8286	9.69493	5013.552127599716
26	6055.02	112.483	6221.47	5872.86	6356.23	47.4182	6423.54	6292.43	1000.0	1000.0	134999	341.976	129.064	482.614	-186.789	341.976	129.067	482.417	-182.488	342.311	128.566	476.968	-182.608	3.62167	3.73994	29.3642	-13.8903	-343.571	12.2817	11.747	9.86086	5206.49572968483
27	6075.29	167.135	6308.29	5861.83	6404.76	61.9099	6486.14	6312.56	1000.0	1000.0	139999	351.853	130.238	487.904	-195.337	351.853	130.241	487.174	-192.923	352.169	129.722	486.453	-192.179	3.71321	3.7498	30.2319	-16.0745	-353.431	11.7075	11.1581	9.56529	5398.970803976059
28	6121.7	64.7953	6242.58	6055.81	6466.23	44.3696	6530.42	6416.1	1000.0	1000.0	144999	360.505	131.676	495.241	-198.673	360.506	131.678	495.021	-199.434	360.801	131.137	492.138	-197.213	3.80299	3.76483	36.1176	-13.4586	-362.063	11.8263	11.2099	9.71595	5591.585913896561
29	6191.65	145.469	6468.86	6047.44	6579.92	37.3421	6645.77	6537.26	1000.0	1000.0	149999	369.135	132.168	501.355	-193.682	369.135	132.17	500.721	-193.979	369.392	131.609	497.59	-191.119	3.86699	3.75521	36.3402	-16.8438	-370.641	11.4342	10.8775	9.63104	5784.535333395004
30	6265.18	115.807	6390.17	6061.19	6793.06	25.7785	6829.5	6751.78	1000.0	1000.0	154999	376.638	133.037	505.523	-182.562	376.638	133.04	505.262	-183.525	376.867	132.46	506.99	-188.414	3.91279	3.76006	32.8494	-14.6982	-378.109	11.5332	10.8721	9.776	5975.98105096817
31	6225.99	166.3	6515.36	6021.17	6826.6	38.7814	6883.42	6762.82	1000.0	1000.0	159999	384.131	132.793	510.661	-177.912	384.131	132.795	510.17	-178.291	384.335	132.193	508.321	-176.838	3.97474	3.75517	36.054	-14.4356	-385.558	10.9403	10.3746	9.39933	6168.730019807816
32	6404.4	81.951	6544.58	6297.41	6642.92	57.8163	6744.34	6585.05	1000.0	1000.0	164999	391.053	132.667	514.588	-163.639	391.053	132.67	513.766	-165.579	391.233	132.046	513.306	-167.135	4.01195	3.74661	34.5626	-17.7373	-392.443	10.7506	10.1238	9.40769	6361.354345321655
33	6314.07	88.5349	6420.5	6169.41	6876.29	40.541	6925.51	6819.69	1000.0	1000.0	169999	397.174	132.71	519.937	-154.717	397.175	132.712	520.535	-154.396	397.326	132.074	520.249	-156.64	4.07191	3.75225	37.472	-16.8526	-398.517	10.5919	10.0256	9.30995	6554.411757230759
34	6509.06	58.293	6618.37	6458.83	6503.77	82.1331	6617.22	6364.05	1000.0	1000.0	174999	403.165	132.514	526.097	-153.521	403.165	132.516	528.027	-149.433	403.28	131.868	522.323	-148.078	4.05911	3.73609	32.325	-17.7183	-404.461	10.1666	9.53703	8.96881	6746.128082990646
35	6422.29	109.422	6515.88	6214.44	6767.83	56.4716	6846.11	6713.06	1000.0	1000.0	179999	408.73	132.212	529.543	-141.713	408.73	132.214	529.194	-142.479	408.818	131.547	528.569	-144.393	4.05334	3.71482	35.9579	-13.6208	-409.992	10.1194	9.47463	9.0556	6938.238754272461
36	6473.35	73.6246	6544.24	6336.17	6843.83	59.6421	6956.58	6789.31	1000.0	1000.0	184999	414.101	131.757	531.703	-132.601	414.101	131.759	532.078	-134.153	414.173	131.082	532.095	-137.808	4.11296	3.72967	33.0884	-12.6215	-415.332	9.70174	9.12854	8.69479	7130.098909854889
