Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
17	4620.44	895.397	5245.55	2871.23	5388.67	93.603	5510.92	5223.87	1000.0	1000.0	89999	224.452	105.033	352.665	-43.4318	224.452	105.03	351.929	-40.1107	0.129291	0.00156361	0.132552	0.125611	0.0161291	6.00782	5.02045	34.6967	-14.494	-224.265	12.9224	13.5146	2241.647423505783
18	5053.15	272.811	5319.81	4575.5	5599.67	71.1759	5690.94	5481.14	1000.0	1000.0	94999	234.835	108.173	362.572	-49.6896	234.835	108.17	360.98	-44.1775	0.133357	0.00202785	0.13665	0.129289	0.0126331	6.0062	4.99397	35.4688	-13.1483	-234.625	13.5668	14.1315	2365.7833054065704
19	5242.05	188.74	5565.71	5009.79	5554.93	35.609	5621.45	5520.69	1000.0	1000.0	99999	245.736	109.965	371.502	-51.1705	245.736	109.963	372.68	-49.3718	0.137925	0.00242896	0.142677	0.133977	0.0248187	6.01248	4.95558	35.3651	-12.5099	-245.484	13.644	14.0826	2489.9032080173492
20	4455.21	1816.42	5463.95	825.141	5963.31	91.2403	6095.05	5834.8	1000.0	1000.0	104999	255.253	111.463	377.5	-45.5816	255.253	111.462	377.75	-47.5487	0.142973	0.00111512	0.145458	0.141147	-0.000197384	5.99985	4.91769	34.5575	-14.7894	-254.951	13.0711	13.4424	2613.942521095276
21	5263.95	132.034	5395.61	5062.07	6239.68	79.6181	6326.28	6120.76	1000.0	1000.0	109999	262.356	114.263	386.261	-51.0119	262.356	114.262	385.663	-50.9034	0.146064	0.00172839	0.150926	0.14174	0.0278009	6.01441	4.92663	31.8234	-14.3383	-262.035	13.1023	13.4688	2737.8581211566925
22	4930.29	965.853	5627.9	3021.84	5458.42	1187.38	6114.63	3091.3	1000.0	1000.0	114999	269.281	116.139	390.356	-52.6134	269.281	116.139	389.887	-51.9013	0.153468	0.00262592	0.158884	0.149103	0.00877028	6.00462	4.93407	33.5124	-13.1361	-268.895	13.2445	13.5932	2861.8120546340942
23	5657.01	143.333	5825.49	5439.46	6189.44	114.791	6372.11	6033.17	1000.0	1000.0	119999	277.024	116.422	394.723	-52.3897	277.024	116.421	395.014	-52.7091	0.156951	0.00205157	0.162001	0.152694	0.0196967	6.01061	4.88097	33.1057	-13.0326	-276.611	12.7608	13.0742	2985.998759508133
24	5703.64	147.579	5860.99	5433.51	6242.11	65.722	6314.54	6135.06	1000.0	1000.0	124999	284.74	116.716	401.715	-55.001	284.739	116.715	403.267	-54.5501	0.160971	0.00150149	0.163756	0.157915	0.00445634	6.0024	4.8317	32.1591	-15.2368	-284.304	11.9566	12.2789	3110.0950310230255
25	5748.68	158.372	5971.53	5515.06	6249.2	36.4195	6297.23	6187.0	1000.0	1000.0	129999	292.592	116.745	409.198	-57.8015	292.592	116.744	408.295	-47.5477	0.163916	0.00151488	0.166525	0.160425	0.00668715	6.00366	4.79011	34.089	-13.3698	-292.129	11.2843	11.501	3233.902379989624
26	5871.81	190.86	6132.48	5578.92	5917.01	85.6284	6027.42	5788.21	1000.0	1000.0	134999	300.173	116.848	414.645	-55.2838	300.173	116.848	414.751	-43.0091	0.166635	0.000997453	0.168868	0.16433	-7.70487e-05	5.9999	4.74827	33.7168	-15.4644	-299.698	10.6439	10.8015	3357.728435277939
